,pais,popData2019,tasaCasos_max,tasaCasos_sum,tasaMuertes_sum,tasaMuertes_max,incidencia14dias_max,incidencia14dias_media,continente,che_2020,che_medio,codigo_pais,pais_cod,continente_cod,region,gasto_medio,gasto_2020,region_cod
188,Taiwan,23773881.0,1.30395201355639e-06,3.1126596452636406e-05,2.9444077725466866e-07,1.2618890453771514e-07,1.03895531,0.12432914703264096,Asia,,,CNG1925,188,2,,,,6
189,Tajikistan,9321023.0,4.96726593207634e-05,0.0013629405270215512,9.441023801786564e-06,8.582748910715058e-07,28.49472638,8.46553450827907,Asia,8.18,5.903333333333333,TJK,189,2,EUR,40.635238095238094,69.69,3
190,Thailand,69625581.0,3.7773472942365823e-06,6.0854070287758175e-05,8.617522344265967e-07,5.745014896177312e-08,2.38848994,0.25055663833333336,Asia,4.36,3.51,THA,190,2,SEAR,168.0952380952381,305.09,4
191,Timor_Leste,1293120.0,9.279881217520416e-06,2.397302647859441e-05,0.0,0.0,1.70131156,0.12706765352941174,Asia,9.85,6.5616666666666665,TLS,191,2,SEAR,64.13222222222223,120.87,4
192,Togo,8082359.0,7.176122713678024e-06,0.00040223405072702166,8.165932743150855e-06,3.7117876105231156e-07,4.39228201,2.041718406920152,Africa,5.96,4.4071428571428575,TGO,192,0,AFR,31.788571428571426,53.5,0
193,Trinidad_and_Tobago,1394969.0,0.00015555901242249827,0.004931292379974035,8.745714062463038e-05,5.018032658790267e-06,119.57254964,25.680488131931817,America,7.31,5.174761904761905,TTO,193,1,AMR,746.2166666666667,1030.71,1
194,Tunisia,11694721.0,0.0004918458507902839,0.009522330631059946,0.00033297074808368666,1.8555380671330254e-05,213.96833665,46.49859194578358,Africa,6.34,5.65,TUN,194,0,EMR,205.84380952380954,221.68,2
195,Turkey,82003882.0,0.0004048344930792423,0.012139315550939405,0.00019753942868216897,2.755967089460472e-06,533.34914072,52.94669587429658,Europe,4.62,4.711904761904762,TUR,195,3,EUR,408.1504761904762,395.24,3
196,Turks_and_Caicos_islands,38194.0,0.001256741896632979,0.020134052468974185,0.00015709273707912238,2.6182122846520396e-05,602.18882547,109.88179810468253,America,,,TCA,196,1,,,,6
197,Uganda,44269587.0,2.708405660075392e-05,0.000621916802612141,4.9921405410897554e-06,3.1624419717310665e-07,16.68639918,2.919988087372549,Africa,3.96,5.241904761904761,UGA,197,0,AFR,35.077619047619045,33.9,0
198,Ukraine,43993643.0,0.0006627093828078752,0.02047263964932388,0.00034657279916555216,1.0092367208598751e-05,456.06816421,98.76923880045626,Europe,7.62,6.69142857142857,UKR,198,3,EUR,170.3457142857143,269.73,3
199,United_Arab_Emirates,9770526.0,0.0001615061461378845,0.018929277707259568,6.314910783718298e-05,1.3305322558887822e-06,194.62616445,76.629598075287,Asia,5.67,3.348095238095239,ARE,199,2,EMR,1334.2085714285715,2191.81,2
200,United_Kingdom,66647112.0,0.0005021973045133599,0.0277491843907655,0.0009628324180048492,1.836538693529586e-05,505.42325075,108.00673246379822,Europe,11.98,9.208095238095236,GBR,200,3,EUR,3804.3,4926.63,3
201,United_Republic_of_Tanzania,58005461.0,2.999717561075844e-06,1.7550071707903504e-05,7.240697561217555e-07,1.0343853658882222e-07,0.67579844,0.04656060273076923,Africa,3.75,4.8704761904761895,TZA,201,0,AFR,32.48428571428571,39.31,0
202,United_States_Virgin_Islands,104579.0,0.000879717725355951,0.017278803583893516,0.00021992943133898775,1.912429837730328e-05,431.25292841,87.48987057293651,America,,,VIR,202,1,,,,6
203,United_States_of_America,329064917.0,0.0007130295205550582,0.04940287815610559,0.0009091731890701676,1.497576844389036e-05,873.21159186,187.87938593905045,America,18.82,15.575714285714287,USA,203,1,AMR,7833.270476190476,11702.41,1
204,Uruguay,3461731.0,0.00015252484956225658,0.0028043773476333082,2.6576299544938646e-05,8.666184634219123e-07,115.3180302,11.43627652667939,America,9.15,8.530476190476193,URY,204,1,AMR,1027.9004761904762,1429.51,1
205,Uzbekistan,32981715.0,3.504972376360659e-05,0.002276837332443143,1.8555736110144666e-05,3.6383796294401306e-07,30.45930146,12.040631897279694,Asia,6.75,5.0914285714285725,UZB,205,2,EUR,77.72952380952381,120.5,3
206,Vanuatu,299882.0,3.3346449603510713e-06,3.3346449603510713e-06,0.0,0.0,0.3334645,0.015879261904761903,Oceania,3.97,3.5,VUT,206,4,WPR,83.81904761904762,114.23,5
207,Venezuela,28515829.0,7.480056076924854e-05,0.0037585090021405305,3.3279761917495015e-05,5.961601186484882e-07,55.06064719,19.697589835172415,America,3.82,6.006666666666666,VEN,207,1,AMR,489.39238095238096,142.46,1
208,Vietnam,96462108.0,5.183382473872538e-07,1.4482370631999873e-05,3.628367731710777e-07,4.146705979098031e-08,0.44888092,0.05977545129129129,Asia,4.68,4.416190476190476,VNM,208,2,WPR,84.37,166.23,5
209,Wallis_and_Futuna,,,0.0,0.0,,,,Oceania,,,,209,4,,,,6
210,Western_Sahara,582458.0,0.00041548060117639385,0.0013151162830624698,1.7168619883322059e-06,1.7168619883322059e-06,94.94246795,8.308051239636363,Africa,,,ESH,210,0,,,,6
211,Yemen,29161922.0,3.9777899412802765e-06,7.142876248005875e-05,2.078052331392972e-05,1.7831472150566756e-06,1.7111355,0.4226983020762712,Asia,,5.200625,YEM,211,2,,,,6
212,Zambia,17861034.0,2.9505570618140026e-05,0.001023121057829015,2.0547522612632618e-05,2.239512001376852e-06,20.48033725,5.44602879127907,Africa,5.62,5.2,ZMB,212,0,AFR,53.665238095238095,53.75,0
213,Zimbabwe,14645473.0,3.3457437666915915e-05,0.0007678823346982374,2.096210890559834e-05,1.229048730621401e-06,16.39414446,4.004036989726562,Africa,3.43,6.705454545454546,ZWE,213,0,AFR,92.11272727272727,50.68,0
